index,authors,title,publish_date,description,main_story,url
1766,['Thomson Reuters'],"Ireland's historic rivals open to governing together, but lack a majority",2020-04-14,The leaders of Irish rival parties Fianna Fail and Fine Gael agreed on Tuesday to govern together fo...,The leaders of Irish rival parties Fianna Fail and Fine Gael agreed on Tuesday to govern together fo...,https://www.cbc.ca/news/world/ireland-post-election-1.5531777
1767,['Cbc News'],BC Hydro issues alert after big rise in attempted bill scams,2020-04-24,Fraudsters are using a sophisticated phone and email scam to try and get customers to buy prepaid cr...,"Scammers have taken to targeting BC Hydro customers in a big way during the coronavirus pandemic, th...",https://www.cbc.ca/news/canada/british-columbia/bc-hydro-alert-bill-scams-1.5544109
1768,[],Chuckwagon season delayed due to COVID-19,2020-04-14,The start of chuckwagon season has been pushed back until at least late June due to the global coron...,The start of chuckwagon season has been pushed back until at least late June due to the global coron...,https://www.cbc.ca/news/canada/calgary/chuckwagon-season-delayed-2020-1.5531258
1769,['Cbc News'],Get ready for a virtual Canada Day party this year,2020-04-17,"With gatherings banned due to the coronavirus pandemic, this year's Canada Day celebrations will tak...","With gatherings banned due to the coronavirus pandemic, this year's Canada Day celebrations will tak...",https://www.cbc.ca/news/canada/ottawa/canada-day-covid19-2020-july-1-1.5536020
1770,['Cbc News'],"Hundreds of N.B. businesses in jeopardy without rent relief, says federation",2020-04-28,"The wheels of the provincial recovery plan are in motion, but many New Brunswick businesses are stil...","The wheels of the provincial recovery plan are in motion, but many New Brunswick businesses are stil...",https://www.cbc.ca/news/canada/new-brunswick/covid-19-businesses-rent-relief-cfib-1.5547343
1771,[],Air Canada anticipates return of worldwide air travel by Christmas,2020-04-30,"An Air Canada vice president said he expects that by the winter holidays, Canadians will be able to ...","An Air Canada vice president suggests that by the time winter holidays roll around again, Canadians ...",https://www.cbc.ca/news/politics/air-canada-predicts-flying-again-christmas-worldwide-1.5551402
1772,['Cbc News'],Remote island caretaker shares lessons learned after months of isolation,2020-04-19,Jeff Macleod spent the winter alone on a small B.C. island and just as he was about to return to soc...,There were a few times this winter when Jeff Macleod desperately wanted to see another human being. ...,https://www.cbc.ca/news/canada/british-columbia/island-caretaker-isolation-lessons-1.5534229
1773,[],"COVID-19 in Sask: 1 new case, nearly 75% of all infected people now recovered",2020-04-16,"""If you have no new cases for two weeks, you must be in the clear,"" says infection control expert Co...",Click here for the latest: COVID-19 in Sask: People reminded again to seek urgent care if needed Sa...,https://www.cbc.ca/news/canada/saskatoon/saskatchewan-coronavirus-1.5534386
1774,[],"Ontario's large cities need emergency federal funding, mayors say",2020-04-29,"Ontario’s big cities say they don’t want to go into the red to pay for drinking water, first respond...","Ontario's big cities say they don't want to go into the red to pay for drinking water, policing and ...",https://www.cbc.ca/news/canada/kitchener-waterloo/lumco-emergency-federal-funding-ask-1.5549398
1775,['Philip Drost Is A Reporter With Cbc New Brunswick.'],Beautiful and heartwarming' messages give encouragement to health-care workers,2020-04-26,Kids provided some words of encouragement to health-care professionals as they continue to battle ag...,People from across the province are letting health-care workers know how much they're appreciated as...,https://www.cbc.ca/news/canada/new-brunswick/words-of-encouragment-1.5545089
1776,['Cbc News'],Greater Sudbury closes 11 municipal boat launches temporarily,2020-04-21,The ice may be gone but the City of Greater Sudbury says don't get the boat out of storage just yet....,The ice may be gone but the City of Greater Sudbury says don't get the boat out of storage just yet....,https://www.cbc.ca/news/canada/sudbury/coronavirus-boat-launch-marina-closure-minimize-gatherings-1....
1777,"['Reporter Editor', 'Born', 'Raised In Thunder Bay', 'Jeff Is Proud To Work In His Hometown', 'As We...",Testing priority in next couple weeks at Northwestern Health Unit,2020-04-28,A provincial plan to test people for COVID-19 living in long-term care could be completed by the mid...,A provincial plan to test people for COVID-19 living in long-term care could be completed by the mid...,https://www.cbc.ca/news/canada/thunder-bay/covid-19-testing-northwestern-health-unit-1.5547300
1778,['Cbc News'],"City cuts back on Officers' Square, other work this year to make up COVID-19 losses",2020-04-28,The City of Fredericton will defer some capital projects to make up a loss of revenue that's resulte...,The City of Fredericton will defer some capital projects to make up a loss of revenue resulting from...,https://www.cbc.ca/news/canada/new-brunswick/fredericton-city-covid-1.5547360
1779,['Cbc News'],Get informed on the top stories of the day in one quick scan,2020-04-06,"In today's Morning Brief, we look at the problems truckers are facing getting access to meals and re...",Good morning! This is our daily news roundup with everything you need to know in one concise read. S...,https://www.cbc.ca/news/morning-brief-april-6-2020-1.5522993
1780,[],"Federal government has limited ability to ramp up COVID-19 testing nationwide, say officials",2020-04-21,Federal government officials say Ottawa is doing what it can to help provinces ramp up their COVID-1...,Federal government officials say Ottawa is doing what it can to help provinces ramp up their COVID-1...,https://www.cbc.ca/news/politics/pandemic-covid-coronavirus-testing-1.5538781
1781,"['Mark Gollom Is A Toronto-Based Reporter With Cbc News. He Covers Canadian', 'U.S. Politics', 'Curr...",How the pandemic makes mourning Nova Scotia shooting victims that much more difficult,2020-04-21,The rules limiting social gatherings during the COVID-19 pandemic mean Nova Scotians won't be able t...,Tiff Ward wishes she could come together with members of her community — to cry with and to hug thos...,https://www.cbc.ca/news/canada/nova-scotia-shooting-coronavirus-vigil-1.5538342
1782,['The Associated Press'],"After a few swings of a sledgehammer, a prized Vincent van Gogh work was gone",2020-04-22,All it took was a few sturdy swings with a sledgehammer and a prized painting by Vincent van Gogh wa...,All it took was a few sturdy swings with a sledgehammer and a prized painting by Vincent van Gogh wa...,https://www.cbc.ca/news/entertainment/art-theft-van-gogh-amsterdam-1.5541627
1783,[],COVID-19 has world's major economies on track for worst quarterly decline in history,2020-04-16,The flood of negative economic indicators caused by the novel coronavirus is set to reach epic propo...,The flood of negative economic indicators caused by COVID-19 is set to reach epic proportions in the...,https://www.cbc.ca/news/business/covid19-economy-jobs-oil-gdp-1.5533030
1784,['Cbc News'],"London region sees another COVID-19 death, 8 new cases",2020-04-09,"COVID-19 cases in the London region now total 170, after eight new cases were announced Thursday alo...","COVID-19 cases in the London region now total 170, after eight new cases were announced Thursday alo...",https://www.cbc.ca/news/canada/london/covid-19-cases-1.5528019
1785,[],"No new COVID-19 cases, 1 more person in intensive care",2020-04-19,"The total number of cases identified in the province is still 253, with 105 of those considered acti...","One more Manitoban with COVID-19 is in intensive care, the province announced Sunday afternoon. Mani...",https://www.cbc.ca/news/canada/manitoba/manitoba-covid-19-update-1.5537784
1786,['The Associated Press'],U.S. grapples with how to drastically ramp up COVID-19 contact tracing,2020-04-16,"As federal officials weigh how and when to reopen the country, experts say the United States does no...","Before Washington state lifts its stay-at-home order, public health workers in Seattle's King County...",https://www.cbc.ca/news/world/us-contact-tracing-shortages-1.5534252
1787,['Thomson Reuters'],U.K. PM Boris Johnson admitted to hospital as 'precautionary step',2020-04-05,British Prime Minister Boris Johnson was admitted to hospital for tests on Sunday after showing pers...,British Prime Minister Boris Johnson was admitted to hospital for tests on Sunday in what Downing St...,https://www.cbc.ca/news/world/u-k-pm-boris-johnson-admitted-to-hospital-as-precautionary-step-1.5522...
1788,['Cbc News'],"New COVID-19 case in N.L., bringing total to 257",2020-04-18,The one new case on Saturday is located in the Eastern Health region.,"There is one new case of COVID-19 in Newfoundland and Labrador Saturday, bringing the total number o...",https://www.cbc.ca/news/canada/newfoundland-labrador/nl-covid-19-april-18-1.5537214
1789,['Cbc News'],"Exit approach, cardboard, masks: Common Sask. COVID-19 questions answered",2020-04-14,Dr. Anne Huang joined host Stefani Langenegger on Tuesday morning to answer common questions about t...,"What should people know right now about COVID-19? Dr. Anne Huang, the former deputy medical health ...",https://www.cbc.ca/news/canada/saskatchewan/covid-19-sask-common-questions-tuesday-1.5531359
